geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
dme04213	Longevity regulating pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04213+48582+50022+42852+48583	0.2927783998411628	1.6416354533455202	0	0	33	./Project_wg_result1576701231_GSEA/dme04213.png	4	48582;50022;42852;48583	Hsp68;Hsp70Bb;Hsp70Bbb;Hsp70Bc
dme00190	Oxidative phosphorylation	http://www.kegg.jp/kegg-bin/show_pathway?dme00190+34482+42739+12797919+42041+41806+318868+317846+40066+36328+32249	-0.5381737934470204	-1.3459888152624226	0.03203203199996794	0.5011902378250906	26	./Project_wg_result1576701231_GSEA/dme00190.png	10	34482;42739;12797919;42041;41806;318868;317846;40066;36328;32249	CG14077;CG15719;CG31644;CG43206;Vha16-3;Vha16-5;Vha36-2;VhaAC39-2;VhaM9.7-d;VhaPPA1-2
dme04140	Autophagy	http://www.kegg.jp/kegg-bin/show_pathway?dme04140+42692+34494+39149+42132+326263+42096+42094+42095	-0.14119255203547243	-0.36781764840442066	0.999999999	0.999933257692051	40	./Project_wg_result1576701231_GSEA/dme04140.png	8	42692;34494;39149;42132;326263;42096;42094;42095	Atg8b;CG17134;CG17283;CG33128;CG5860;CG5863;Ilp1;Takl2
dme00330	Arginine and proline metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00330+43624+39556+34495+38986+43623+5740402+326112+43416+43628+326114+43629+326188+36844+35767+40026+317911+43625+43638+41922+40028+36847+43627+326209	-0.4640678941074843	-1.186409461816601	0.12999999987	1	32	./Project_wg_result1576701231_GSEA/dme00330.png	23	43624;39556;34495;38986;43623;5740402;326112;43416;43628;326114;43629;326188;36844;35767;40026;317911;43625;43638;41922;40028;36847;43627;326209	CG11828;CG15539;CG18231;CG31021;CG32199;CG32201;CG34345;CG4546;CG6661;CG9698;Nos;Odc2;PH4alphaMP;PH4alphaNE1;PH4alphaNE2;PH4alphaNE3;PH4alphaSG1;PH4alphaSG2;S-Lap1;S-Lap2;S-Lap4;S-Lap8;loopin-1
dme04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?dme04145+34495+41183+41124+39282+246543+35073+36900+40748+117406+34695+42159+32180+43984+34482+37312+42739+42041+41806+317846+36328+32249+36879	-0.41607335263854545	-1.1077665918927426	0.213999999786	1	51	./Project_wg_result1576701231_GSEA/dme04145.png	22	34495;41183;41124;39282;246543;35073;36900;40748;117406;34695;42159;32180;43984;34482;37312;42739;42041;41806;317846;36328;32249;36879	Arp53D;CG13426;CG15719;CG1924;CG32396;CG7794;Nos;Sdic1;Vha100-3;Vha14-2;Vha16-2;Vha16-3;Vha16-4;Vha16-5;Vha36-2;Vha68-3;VhaAC39-2;VhaM9.7-d;VhaPPA1-2;alphaTub85E;betaTub85D;btv
dme00620	Pyruvate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00620+31606+31830+49997+36556+31407+318995+41787+5740441+33475+34807+39945+36839+36510+39469+40409	-0.4250777980307423	-1.0536090298834377	0.36609829451745407	1	24	./Project_wg_result1576701231_GSEA/dme00620.png	15	31606;31830;49997;36556;31407;318995;41787;5740441;33475;34807;39945;36839;36510;39469;40409	Acyp;CG10748;CG10970;CG11052;CG11249;CG12229;CG13334;CG18371;CG2964;CG31874;CG34161;CG4095;CG7024;CG7362;CG7848
dme03050	Proteasome	http://www.kegg.jp/kegg-bin/show_pathway?dme03050+34726+39351+33449+2768973+42457	-0.39383918918636857	-1.0421643268591518	0.377999999622	1	44	./Project_wg_result1576701231_GSEA/dme03050.png	5	34726;39351;33449;2768973;42457	Prosalpha4T1;Prosalpha6T;Prosbeta4R1;Rpn12R;Rpt4R
dme00010	Glycolysis / Gluconeogenesis	http://www.kegg.jp/kegg-bin/show_pathway?dme00010+36904+33476+31407+33459+41787+261603+117364+43191+33475+43189+36649+39945+36510+40409+34586+32345	-0.3922680454093319	-1.0100498754664435	0.468999999531	1	34	./Project_wg_result1576701231_GSEA/dme00010.png	16	36904;33476;31407;33459;41787;261603;117364;43191;33475;43189;36649;39945;36510;40409;34586;32345	CG10202;CG10996;CG11249;CG12229;CG13334;CG2964;CG32445;CG4988;CG5432;CG7024;CG7362;CG9010;CG9961;G6P;Hex-t1;Hex-t2
dme04146	Peroxisome	http://www.kegg.jp/kegg-bin/show_pathway?dme04146+317944+39343+42074+42023+42375	-0.366464998793602	-0.9408259564057305	0.6366366359993627	1	31	./Project_wg_result1576701231_GSEA/dme04146.png	5	317944;39343;42074;42023;42375	CG14893;CG32263;CG4770;CG5265;CG5906
dme04142	Lysosome	http://www.kegg.jp/kegg-bin/show_pathway?dme04142+326263+42096+34451+42094+34482+42739+41806+317846+37211+42095+37877+37490	-0.36145064654182135	-0.9524052339539704	0.646999999353	1	44	./Project_wg_result1576701231_GSEA/dme04142.png	12	326263;42096;34451;42094;34482;42739;41806;317846;37211;42095;37877;37490	CG10474;CG11406;CG17283;CG18301;CG33128;CG4372;CG5860;CG5863;Vha16-3;Vha16-5;VhaAC39-2;VhaPPA1-2
