geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
dme00190	Oxidative phosphorylation	http://www.kegg.jp/kegg-bin/show_pathway?dme00190+34695+318868+19835750+40748+36328+246543+41806+39282+42739+42041+34482+12797919+41324+36900	-0.5651527932253382	-1.4732117096558945	0.0060120240420721205	0.1042411416478394	23	./Project_wg_result1576701795_GSEA/dme00190.png	14	34695;318868;19835750;40748;36328;246543;41806;39282;42739;42041;34482;12797919;41324;36900	CG31644;CG43206;CG44296;CG6629;Vha100-3;Vha14-2;Vha16-2;Vha16-4;Vha16-5;Vha36-2;Vha68-3;VhaAC39-2;VhaM9.7-d;VhaPPA1-2
dme00330	Arginine and proline metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00330+43624+50001+38986+326112+41922+40026+5740402+36844+36847+40028+43623+43629+43416+326188+43625+317911+42892+326114+43628+326209+39556	-0.4151414009955102	-1.1013504983597717	0.27627627599972343	0.9954201716720664	28	./Project_wg_result1576701795_GSEA/dme00330.png	21	43624;50001;38986;326112;41922;40026;5740402;36844;36847;40028;43623;43629;43416;326188;43625;317911;42892;326114;43628;326209;39556	CG11828;CG13611;CG15864;CG18231;CG32199;CG32201;CG34345;CG4546;CG6661;CG9698;PH4alphaMP;PH4alphaNE1;PH4alphaNE2;PH4alphaNE3;PH4alphaSG1;PH4alphaSG2;S-Lap1;S-Lap2;S-Lap4;S-Lap8;loopin-1
dme01200	Carbon metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme01200+117364+37900+36839+42326+40409+33475+39281+34198+43189+38358+41787+36904+37541+39469+41324+43191+41326	-0.4239661743693947	-1.1969425887371927	0.097999999902	1	47	./Project_wg_result1576701795_GSEA/dme01200.png	17	117364;37900;36839;42326;40409;33475;39281;34198;43189;38358;41787;36904;37541;39469;41324;43191;41326	CG10748;CG11249;CG11291;CG2964;CG32487;CG3483;CG4706;CG5432;CG6140;CG6255;CG6629;CG7362;CG7848;CG9010;CG9314;Hex-t1;Hex-t2
dme03050	Proteasome	http://www.kegg.jp/kegg-bin/show_pathway?dme03050+33449+33451+31511+2768973+43679+34726+42457	-0.42938821023453494	-1.1736555205472667	0.12999999987	1	38	./Project_wg_result1576701795_GSEA/dme03050.png	7	33449;33451;31511;2768973;43679;34726;42457	Prosalpha3T;Prosalpha4T1;Prosalpha6T;Prosbeta2R1;Prosbeta4R1;Prosbeta4R2;Rpn12R
dme04624	Toll and Imd signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?dme04624+50209+43256+43222+34969+36769+41087+41785+37216+38613+42504+32257+32358+32256+35047+35956+39063+32099+40034+31797+38858+42692	0.2791775321469589	1.1170424439435416	0.199999960000008	1	22	./Project_wg_result1576701795_GSEA/dme04624.png	21	50209;43256;43222;34969;36769;41087;41785;37216;38613;42504;32257;32358;32256;35047;35956;39063;32099;40034;31797;38858;42692	GNBP1;IM3;Myd88;PGRP-LC;PGRP-SA;PGRP-SD;Rel;Tab2;Takl2;Tl;Uev1A;ben;cact;casp;dl;eff;hep;lic;slmb;spirit;spz
dme04142	Lysosome	http://www.kegg.jp/kegg-bin/show_pathway?dme04142+37877+246543+34451+41806+42096+39282+42739+34482+41643+34494+36900	-0.4210069615286437	-1.1356482048661602	0.21221221199978757	1	31	./Project_wg_result1576701795_GSEA/dme04142.png	11	37877;246543;34451;41806;42096;39282;42739;34482;41643;34494;36900	CG11406;CG17134;CG18301;CG5863;Lip3;Vha100-3;Vha16-2;Vha16-4;Vha16-5;VhaAC39-2;VhaPPA1-2
dme00010	Glycolysis / Gluconeogenesis	http://www.kegg.jp/kegg-bin/show_pathway?dme00010+117364+40409+34586+33475+36649+36510+43189+41787+36904+32345+43191	-0.419812757439306	-1.1268361275441618	0.2394789576758728	1	28	./Project_wg_result1576701795_GSEA/dme00010.png	11	117364;40409;34586;33475;36649;36510;43189;41787;36904;32345;43191	CG10202;CG10996;CG11249;CG13334;CG2964;CG4988;CG5432;CG7362;CG9010;Hex-t1;Hex-t2
dme00620	Pyruvate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00620+31407+318995+31606+49997+36839+31830+40409+33475+39281+36510+41787+5740441+39469+34807	-0.42381214809738066	-1.1092176201385937	0.2768304911967598	1	21	./Project_wg_result1576701795_GSEA/dme00620.png	14	31407;318995;31606;49997;36839;31830;40409;33475;39281;36510;41787;5740441;39469;34807	Acyp;CG10748;CG10970;CG11052;CG11249;CG13334;CG2964;CG31874;CG34161;CG4095;CG6140;CG7024;CG7362;CG7848
dme04120	Ubiquitin mediated proteolysis	http://www.kegg.jp/kegg-bin/show_pathway?dme04120+32190+53445+33318+40900+38591+37808+12798588	-0.38102037119640014	-1.0584045284236994	0.332999999667	1	38	./Project_wg_result1576701795_GSEA/dme04120.png	7	32190;53445;33318;40900;38591;37808;12798588	CG17030;CG2574;CG43089;CG5440;Roc1b;Ubc84D;fzr2
dme03018	RNA degradation	http://www.kegg.jp/kegg-bin/show_pathway?dme03018+48572+33796+34229+34901+34763	-0.4099376006889961	-1.065844871431504	0.3597194385173152	1	22	./Project_wg_result1576701795_GSEA/dme03018.png	5	48572;33796;34229;34901;34763	CG15262;Hsp60B;Hsp60C;Hsp60D;Rcd-1r
dme00480	Glutathione metabolism	http://www.kegg.jp/kegg-bin/show_pathway?dme00480+32438+48340+48338+5740847+48337+38986+37695+48339+37194+36844+36847+31995+326187+36524+326188+31994+326209	-0.35758149558974334	-0.9631114082421287	0.575999999424	1	28	./Project_wg_result1576701795_GSEA/dme00480.png	17	32438;48340;48338;5740847;48337;38986;37695;48339;37194;36844;36847;31995;326187;36524;326188;31994;326209	CG15116;CG17636;CG2111;CG33177;CG3502;CG9806;GstD4;GstD5;GstD6;GstD7;S-Lap1;S-Lap2;S-Lap3;S-Lap4;S-Lap7;S-Lap8;loopin-1
